"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","30B","Color","Black","Style","Black","BRA035BL30B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418678","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Black_ZeroG_Softlifebikini_1530.jpg?v=1702943348",4,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32A","Color","Black","Style","Black","ZGW01BL32A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404145","https://cdn.shopify.com/s/files/1/1951/2903/files/ZERO-GWIREFREELIFT-UPBRA_74ff2088-20df-47ae-aab7-05d2999ef228.jpg?v=1732051600",5,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32A","Color","Black","Style","Black","BRA035BL32A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418685",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32AA","Color","Black","Style","Black","ZGW01BL32AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404152",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32AA","Color","Black","Style","Black","BRA035BL32AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418692",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32B","Color","Black","Style","Black","ZGW01BL32B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404169",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","32B","Color","Black","Style","Black","BRA035BL32B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418708",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34A","Color","Black","Style","Black","ZGW01BL34A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404176",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34A","Color","Black","Style","Black","BRA035BL34A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418715",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34AA","Color","Black","Style","Black","ZGW01BL34AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404183",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34AA","Color","Black","Style","Black","BRA035BL34AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418722",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34B","Color","Black","Style","Black","ZGW01BL34B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404190",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","34B","Color","Black","Style","Black","BRA035BL34B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418739",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36A","Color","Black","Style","Black","ZGW01BL36A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404206",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36A","Color","Black","Style","Black","BRA035BL36A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418746",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36AA","Color","Black","Style","Black","ZGW01BL36AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404213",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36AA","Color","Black","Style","Black","BRA035BL36AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418753",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36B","Color","Black","Style","Black","ZGW01BL36B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404220",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","36B","Color","Black","Style","Black","BRA035BL36B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418760",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38A","Color","Black","Style","Black","ZGW01BL38A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404237",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38A","Color","Black","Style","Black","BRA035BL38A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418777",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38AA","Color","Black","Style","Black","ZGW01BL38AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404244",,,,,,"lb","PC040152",
